Model,Dataset,PSNR,SSIM,LPIPS,Time(s)
Bicubic,DIV2K,26.747241085145923,0.7706532663956471,0.0007561444123348337,0.5004506063461304
Bicubic,Set5,27.307246514063714,0.8098395071198496,0.0006025312060955912,0.001999950408935547
